"_id","_labels","name","nominal_voltage","type","_start","_end","_type","name","nominal_voltage","number_kvl","number_lr","number_vl"
"0",":TP","St.Sverdl.24_ramp","","",,,,,,,,
"1",":TP","St.Green,Budennogo","","",,,,,,,,
"2",":LR","LR_032","","",,,,,,,,
"3",":TP","Parkovaya","","",,,,,,,,
"4",":TP","St.Lenina,Komsomolskaya,School","","",,,,,,,,
"5",":TP","St.Lenina,Pervomayskaya,Komsomolskaya","","",,,,,,,,
"6",":LR","LR_030","","",,,,,,,,
"7",":TP","Pumping station, gym","","",,,,,,,,
"8",":TP","St.Oktyabrskaya","","",,,,,,,,
"9",":TP","St.Zarechnaya,Prudki,Bath","","",,,,,,,,
"10",":TP","St.Novikova,Tele2","","",,,,,,,,
"11",":PS35","Semzavod","35/10","",,,,,,,,
"12",":TP","St.Molodezhnaya","","",,,,,,,,
"13",":TP","St.Narodnaya","","",,,,,,,,
"14",":TP","Ozerki(current)","","",,,,,,,,
"15",":TP","8 March street, Lesnaya","","",,,,,,,,
"16",":LR","LR_027","","",,,,,,,,
"17",":TP","St.Vatutina, politotdelskaya","","",,,,,,,,
"18",":TP","St.Vatutina(current)","","",,,,,,,,
"19",":TP","St.Vatutina,Elbrus","","",,,,,,,,
"20",":LR","LR_026","","",,,,,,,,
"21",":TP","St.Krasnostepovskaya","","",,,,,,,,
"22",":TP","Well","","",,,,,,,,
"23",":TP","St.Gagarina","","",,,,,,,,
"24",":TP","St.Dzerzhinskogo","","",,,,,,,,
"25",":TP","Village council central,Embankment","","",,,,,,,,
"26",":TP","St.Shkolnaya, Vishnev, Hospital","","",,,,,,,,
"27",":LR","LR_025","","",,,,,,,,
"28",":TP","Kids camp","","",,,,,,,,
"29",":TP","Сlub","","",,,,,,,,
"30",":LR","LR_024","","",,,,,,,,
"31",":TP","Gas","","",,,,,,,,
"32",":TP","Megaphone","","",,,,,,,,
"33",":TP","Khutor mokrenkiy","","",,,,,,,,
"34",":TP","Kolbasovka","","",,,,,,,,
"35",":LR","LR_031","","",,,,,,,,
"36",":TP","Svobodnyy","","",,,,,,,,
"37",":PS35","Pristen","35/10","",,,,,,,,
"38",":TP","Grachevka, Vodokachka, Shilovka","","",,,,,,,,
"39",":TP","St.Druzhba, Mirnaya","","",,,,,,,,
"40",":TP","Solnechnaya, Mirnaya","","",,,,,,,,
"41",":LR","LR_041","","",,,,,,,,
"42",":TP","AZC","","",,,,,,,,
"43",":TP","Old farm","","",,,,,,,,
"44",":TP","Festivalnaya, solnechnaya","","",,,,,,,,
"45",":LR","LR_045","","NTR",,,,,,,,
"46",":TP","Dolina","","",,,,,,,,
"47",":LR","LR_040","","",,,,,,,,
"48",":TP","Vodokachka","","",,,,,,,,
"49",":LR","LR_039","","",,,,,,,,
"50",":CRP","Pristen","10","",,,,,,,,
"51",":TP","Krestyanskaya","","",,,,,,,,
"52",":TP","SHT","","",,,,,,,,
"53",":TP","Beeline","","",,,,,,,,
"54",":TP","MTC","","",,,,,,,,
"55",":TP","Tele2","","",,,,,,,,
"56",":TP","Ponizovka","","",,,,,,,,
"57",":TP","St.Penzinskaya, Sadovaya","","",,,,,,,,
